outcome,bookmaker,1035364,1035365,1035368,1035369,1035370,1035373,rank
Yes,10Bet,1.62,1.80,1.57,2.55,1.50,1.67,16
Yes,188Bet,1.71,1.88,1.66,2.85,1.57,1.77,3
Yes,1xBet,1.70,1.88,1.66,2.74,1.57,1.76,10
Yes,888Sport,1.76,1.91,1.68,2.48,1.61,1.74,4
Yes,Bet365,1.70,1.95,1.67,2.63,1.57,1.75,10
Yes,Betcris,1.70,1.90,1.68,2.65,1.58,1.75,6
Yes,Betfair,1.77,1.98,1.73,2.90,1.67,1.82,1
Yes,Betsson,1.70,1.90,1.64,2.77,1.57,1.76,6
Yes,Betway,1.70,1.88,1.67,2.70,1.60,1.75,6
Yes,Bwin,1.68,1.90,1.65,2.65,1.55,1.70,13
Yes,Marathonbet,1.70,1.88,1.66,2.74,1.57,1.76,10
Yes,NordicBet,1.70,1.90,1.64,2.77,1.57,1.76,6
Yes,Pinnacle,1.74,1.91,1.70,2.91,1.60,1.78,2
Yes,Sportingbet,1.68,1.90,1.65,2.65,1.55,1.70,13
Yes,Tipico,1.62,1.75,1.57,2.60,1.50,1.65,17
Yes,Unibet,1.76,1.91,1.68,2.48,1.61,1.74,4
Yes,William Hill,1.62,1.85,1.60,2.75,1.53,1.73,15
No,10Bet,2.15,1.90,2.25,1.45,2.40,2.10,5
No,188Bet,2.15,1.93,2.23,1.43,2.41,2.06,7
No,1xBet,2.10,1.88,2.16,1.43,2.34,2.01,12
No,888Sport,2.02,1.85,2.14,1.52,2.25,2.05,12
No,Bet365,2.05,1.80,2.10,1.44,2.25,2.00,15
No,Betcris,2.15,1.85,2.15,1.48,2.35,2.05,9
No,Betfair,2.24,2.00,2.34,1.52,2.46,2.18,1
No,Betsson,2.17,1.91,2.27,1.45,2.42,2.07,3
No,Betway,2.10,1.91,2.20,1.45,2.30,2.05,8
No,Bwin,2.05,1.80,2.10,1.41,2.25,2.00,16
No,Marathonbet,2.10,1.88,2.17,1.43,2.34,2.02,11
No,NordicBet,2.17,1.91,2.27,1.45,2.42,2.07,3
No,Pinnacle,2.18,1.96,2.24,1.43,2.44,2.13,2
No,Sportingbet,2.05,1.80,2.10,1.41,2.25,2.00,16
No,Tipico,2.15,1.93,2.25,1.42,2.40,2.10,6
No,Unibet,2.02,1.85,2.14,1.52,2.25,2.04,14
No,William Hill,2.20,1.85,2.25,1.40,2.38,2.00,9
